ts,open,high,low,close,volume
2015-01-01,246.82,254.82,243.43,250.0,34411.88
2015-01-02,256.27,256.27,252.43,254.77,20429.82
2015-01-03,254.32,257.45,251.27,253.92,52716.65
2015-01-04,257.21,264.46,256.04,260.13,59359.13
2015-01-05,270.24,285.54,263.83,274.78,57738.24
2015-01-06,270.49,282.95,264.38,272.95,14235.59
2015-01-07,273.75,277.71,261.41,271.13,14118.96
2015-01-08,289.48,290.36,284.72,286.97,44544.7
2015-01-09,294.92,302.53,291.11,295.22,21030.85
2015-01-10,290.0,294.17,289.58,290.85,21546.45
2015-01-11,294.83,301.62,291.68,296.87,12701.91
2015-01-12,292.09,296.7,284.46,292.53,68384.42
2015-01-13,287.14,289.82,285.75,288.23,50902.87
2015-01-14,295.1,295.41,287.77,291.12,20133.66
2015-01-15,269.97,281.64,259.66,272.67,13209.37
2015-01-16,257.89,265.45,245.68,257.08,12746.11
2015-01-17,254.92,254.92,250.29,252.45,24617.6
2015-01-18,245.54,246.19,241.68,244.02,30148.43
2015-01-19,244.87,249.1,244.84,247.09,11098.79
2015-01-20,236.96,242.69,236.96,239.72,8172.22
2015-01-21,229.01,235.69,222.79,228.5,23574.29
2015-01-22,241.18,242.69,238.5,240.89,44185.21
2015-01-23,241.71,246.85,232.96,239.35,23469.41
2015-01-24,241.34,242.22,238.53,240.28,18122.5
2015-01-25,228.05,236.64,223.48,228.94,8957.05
2015-01-26,223.96,229.02,220.0,224.95,13318.82
2015-01-27,223.8,230.82,216.31,226.17,44661.9
2015-01-28,217.79,219.89,213.04,217.56,8114.61
2015-01-29,218.29,228.34,216.41,220.77,91329.18
2015-01-30,218.08,218.88,214.61,216.51,23671.47
2015-01-31,215.64,216.66,213.03,214.63,6215.91
2015-02-01,211.41,214.32,205.9,210.47,33072.21
2015-02-02,222.53,232.43,216.98,224.9,31707.23
2015-02-03,224.87,232.88,217.02,225.14,15584.51
2015-02-04,216.6,222.98,210.79,217.28,46883.73
2015-02-05,224.15,232.14,215.97,223.96,13470.04
2015-02-06,215.82,216.09,213.54,214.92,36663.23
2015-02-07,215.93,219.43,213.93,216.82,21507.36
2015-02-08,201.98,206.84,199.06,202.75,17621.02
2015-02-09,194.88,200.86,189.7,193.83,64728.06
2015-02-10,193.7,197.54,193.14,195.46,48553.45
2015-02-11,199.68,202.98,199.05,200.88,9115.34
2015-02-12,202.4,205.85,198.66,202.39,29970.0
2015-02-13,203.33,205.32,198.26,201.88,100555.31
2015-02-14,198.51,202.95,195.41,200.06,66090.2
2015-02-15,191.48,191.48,187.69,190.26,10678.56
2015-02-16,184.21,188.48,184.21,185.8,79236.39
2015-02-17,185.38,185.59,181.75,183.11,46508.37
2015-02-18,192.12,192.13,186.76,190.29,9553.2
2015-02-19,190.68,195.37,189.41,192.88,26099.63
2015-02-20,179.24,187.32,177.71,181.61,32385.31
2015-02-21,185.02,187.31,181.17,183.96,9337.82
2015-02-22,181.22,185.16,179.54,181.77,38878.96
2015-02-23,176.35,182.35,170.72,177.78,154363.44
2015-02-24,184.29,184.29,179.02,181.9,65875.15
2015-02-25,187.06,191.96,186.19,188.87,25161.09
2015-02-26,194.28,198.86,190.51,195.42,17649.92
2015-02-27,189.12,191.61,188.67,190.05,28744.33
2015-02-28,187.28,189.49,187.28,188.28,10130.22
2015-03-01,190.9,196.52,181.51,190.76,15085.09
2015-03-02,196.25,201.42,193.97,197.69,4601.82
2015-03-03,195.95,198.63,189.31,194.69,31295.12
2015-03-04,194.39,194.39,192.06,193.72,16874.37
2015-03-05,186.99,191.72,179.96,186.64,36238.0
2015-03-06,179.61,182.33,175.63,179.26,24321.19
2015-03-07,184.95,186.78,183.97,184.71,9845.23
2015-03-08,192.89,199.11,190.74,193.98,25950.55
2015-03-09,192.83,196.27,190.82,193.78,12491.17
2015-03-10,203.13,204.8,197.91,201.01,83119.27
2015-03-11,205.07,206.32,201.33,203.87,11259.3
2015-03-12,199.95,202.38,197.2,199.62,15177.98
2015-03-13,203.44,204.95,198.06,202.46,9826.46
2015-03-14,213.88,215.35,212.68,213.98,9170.47
2015-03-15,214.35,219.48,204.31,214.04,22651.34
